Country_or_Other,Date_Time,NewCases,NewDeaths,NewRecovered
China,2020-06-24 12:57:47.596374,12.0,0.0,
USA,2020-06-24 12:57:47.596374,38386.0,808.0,
Brazil,2020-06-24 12:57:47.596374,40995.0,1103.0,
Russia,2020-06-24 12:57:47.596374,7176.0,154.0,
India,2020-06-24 12:57:47.596374,16870.0,424.0,
UK,2020-06-24 12:57:47.596374,652.0,154.0,
Spain,2020-06-24 12:57:47.596374,334.0,2.0,
Peru,2020-06-24 12:57:47.596374,3879.0,182.0,
Chile,2020-06-24 12:57:47.596374,3649.0,226.0,
Italy,2020-06-24 12:57:47.596374,190.0,30.0,
Iran,2020-06-24 12:57:47.596374,2531.0,133.0,
Germany,2020-06-24 12:57:47.596374,476.0,17.0,
Turkey,2020-06-24 12:57:47.596374,1492.0,24.0,
Mexico,2020-06-24 12:57:47.596374,6288.0,793.0,
Pakistan,2020-06-24 12:57:47.596374,3892.0,60.0,
Saudi Arabia,2020-06-24 12:57:47.596374,3123.0,41.0,
France,2020-06-24 12:57:47.596374,81.0,11.0,
Bangladesh,2020-06-24 12:57:47.596374,3462.0,37.0,
South Africa,2020-06-24 12:57:47.596374,5688.0,103.0,
Canada,2020-06-24 12:57:47.596374,279.0,30.0,
Qatar,2020-06-24 12:57:47.596374,1199.0,5.0,
Colombia,2020-06-24 12:57:47.596374,3541.0,87.0,
Sweden,2020-06-24 12:57:47.596374,343.0,48.0,
Belgium,2020-06-24 12:57:47.596374,88.0,9.0,
Belarus,2020-06-24 12:57:47.596374,458.0,5.0,
Egypt,2020-06-24 12:57:47.596374,1420.0,85.0,
Ecuador,2020-06-24 12:57:47.596374,0.0,0.0,
Argentina,2020-06-24 12:57:47.596374,2648.0,38.0,
Netherlands,2020-06-24 12:57:47.596374,82.0,2.0,
Indonesia,2020-06-24 12:57:47.596374,1113.0,38.0,
UAE,2020-06-24 12:57:47.596374,450.0,2.0,
Singapore,2020-06-24 12:57:47.596374,191.0,0.0,
Kuwait,2020-06-24 12:57:47.596374,846.0,3.0,
Portugal,2020-06-24 12:57:47.596374,367.0,3.0,
Ukraine,2020-06-24 12:57:47.596374,940.0,16.0,
Iraq,2020-06-24 12:57:47.596374,2200.0,79.0,
Oman,2020-06-24 12:57:47.596374,1142.0,2.0,
Poland,2020-06-24 12:57:47.596374,294.0,21.0,
Philippines,2020-06-24 12:57:47.596374,470.0,18.0,
Switzerland,2020-06-24 12:57:47.596374,44.0,2.0,
Afghanistan,2020-06-24 12:57:47.596374,159.0,21.0,
Dominican Republic,2020-06-24 12:57:47.596374,695.0,16.0,
Panama,2020-06-24 12:57:47.596374,716.0,11.0,
Bolivia,2020-06-24 12:57:47.596374,896.0,26.0,
Ireland,2020-06-24 12:57:47.596374,5.0,6.0,
Romania,2020-06-24 12:57:47.596374,321.0,16.0,
Bahrain,2020-06-24 12:57:47.596374,508.0,2.0,
Israel,2020-06-24 12:57:47.596374,532.0,0.0,
Nigeria,2020-06-24 12:57:47.596374,649.0,9.0,
Armenia,2020-06-24 12:57:47.596374,711.0,14.0,
Kazakhstan,2020-06-24 12:57:47.596374,534.0,2.0,
Japan,2020-06-24 12:57:47.596374,56.0,8.0,
Austria,2020-06-24 12:57:47.596374,41.0,0.0,
Moldova,2020-06-24 12:57:47.596374,364.0,5.0,
Ghana,2020-06-24 12:57:47.596374,445.0,0.0,
Guatemala,2020-06-24 12:57:47.596374,771.0,35.0,
Azerbaijan,2020-06-24 12:57:47.596374,590.0,7.0,
Honduras,2020-06-24 12:57:47.596374,587.0,10.0,
Serbia,2020-06-24 12:57:47.596374,143.0,0.0,
Denmark,2020-06-24 12:57:47.596374,54.0,0.0,
Cameroon,2020-06-24 12:57:47.596374,322.0,0.0,
S. Korea,2020-06-24 12:57:47.596374,51.0,0.0,
Algeria,2020-06-24 12:57:47.596374,172.0,8.0,
Morocco,2020-06-24 12:57:47.596374,563.0,2.0,
Czechia,2020-06-24 12:57:47.596374,127.0,4.0,
Nepal,2020-06-24 12:57:47.596374,629.0,0.0,
Sudan,2020-06-24 12:57:47.596374,0.0,0.0,
Norway,2020-06-24 12:57:47.596374,16.0,1.0,
Malaysia,2020-06-24 12:57:47.596374,6.0,0.0,
Ivory Coast,2020-06-24 12:57:47.596374,260.0,0.0,
Australia,2020-06-24 12:57:47.596374,29.0,1.0,
Finland,2020-06-24 12:57:47.596374,12.0,0.0,
Uzbekistan,2020-06-24 12:57:47.596374,239.0,0.0,
